Loyalty Number,Segment_Name,Risk_Level,Churn_Prob,CLV,Revenue_At_Risk,Recommended_Action,Months_Since_Last_Active,Flights_6M,Points_6M
101515,Champions,Low,0.0033953455,7737.27,26.270705090942798,Routine: Standard newsletter + rewards update,2.033333333333333,4.0,5300.0
101540,Champions,Low,0.0061731036,2688.88,16.59873475987464,Routine: Standard newsletter + rewards update,0.0,4.0,6303.0
101544,Champions,Low,0.008095097,24249.34,196.30075455732643,Routine: Standard newsletter + rewards update,0.0,7.0,9470.0
101547,Dormant Members,Low,0.1585816,5619.69,891.1794294176996,Re-Engagement: Points expiry reminder + transfer partner offer,2.033333333333333,6.0,10342.0
101581,Champions,Low,0.008514535,4595.46,39.12820354990661,Routine: Standard newsletter + rewards update,1.0333333333333334,5.0,7083.0
101594,Champions,Low,0.009987813,5205.75,51.994059714255854,Routine: Standard newsletter + rewards update,0.0,15.0,21194.0
101644,Dormant Members,Medium,0.3955728,8382.63,3315.940515733659,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
101663,Champions,Low,0.011436891,5129.74,58.66827626742423,Routine: Standard newsletter + rewards update,0.0,8.0,16117.0
101664,Champions,Low,0.007849362,9002.41,70.66317268934101,Routine: Standard newsletter + rewards update,0.0,8.0,13180.0
101709,Champions,Low,0.0074793636,8396.61,62.801299086171205,Routine: Standard newsletter + rewards update,0.0,8.0,11920.0
101768,Dormant Members,Low,0.070097916,13916.93,975.5477877273412,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
101876,Dormant Members,Low,0.07884079,4949.53,390.2248661142588,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,4.0,5003.0
101895,Champions,Medium,0.24534287,24543.2,6021.499018657208,Engagement Nudge: Personalized bonus miles offer,5.033333333333333,2.0,3203.0
101902,Champions,Low,0.007691621,6265.34,48.19061977053061,Routine: Standard newsletter + rewards update,0.0,18.0,31600.0
101945,Champions,Low,0.00508712,4202.66,21.37943570903502,Routine: Standard newsletter + rewards update,0.0,6.0,11541.0
102168,Dormant Members,Low,0.013510244,7166.34,96.81900175172836,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,4.0,3532.0
102184,Champions,Low,0.02386775,4923.18,117.50523210536689,Routine: Standard newsletter + rewards update,2.033333333333333,7.0,6773.0
102207,Champions,Low,0.0067393854,6960.92,46.91232279986143,Routine: Standard newsletter + rewards update,0.0,7.0,10890.0
102299,Champions,Low,0.0066970144,2089.34,13.992340149758384,Routine: Standard newsletter + rewards update,0.0,7.0,12290.0
102308,Dormant Members,Critical,0.9997011,12866.89,12863.043864064812,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
102311,Champions,Low,0.0047574593,7507.46,35.71643521187827,Routine: Standard newsletter + rewards update,0.0,11.0,14938.0
102376,Champions,Low,0.006068732,12765.78,77.47209917164407,Routine: Standard newsletter + rewards update,0.0,4.0,4458.0
102464,Dormant Members,Low,0.020740591,2725.68,56.53221404850483,Re-Engagement: Points expiry reminder + transfer partner offer,2.033333333333333,5.0,6820.0
102615,Dormant Members,Low,0.055620316,7590.05,422.1609826134518,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
102726,Dormant Members,Low,0.014514523,8044.87,116.76744764624164,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,9.0,10186.0
102730,Dormant Members,Low,0.026361471,2453.57,64.67971450461076,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,4.0,4032.0
102740,Dormant Members,Low,0.023678958,16922.13,400.69841257989407,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
102788,Champions,Low,0.0074489936,11124.21,82.86416935376822,Routine: Standard newsletter + rewards update,1.0333333333333334,21.0,55317.0
102851,Champions,Low,0.0053520747,19435.63,104.0209444964258,Routine: Standard newsletter + rewards update,0.0,12.0,18082.0
102877,Champions,Low,0.01034861,2863.04,29.62848336845636,Routine: Standard newsletter + rewards update,0.0,5.0,10647.0
102982,Dormant Members,Low,0.011572295,5235.57,60.58755984482355,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,2.0,4552.0
103043,Champions,Low,0.011392108,3351.21,38.17734680271708,Routine: Standard newsletter + rewards update,0.0,2.0,3204.0
103151,Champions,Medium,0.347175,32613.69,11322.657894176244,Engagement Nudge: Personalized bonus miles offer,4.0,6.0,8882.0
103217,Champions,Low,0.013374622,6439.33,86.12360455377959,Routine: Standard newsletter + rewards update,1.0333333333333334,10.0,9552.0
103304,Champions,Low,0.018831411,2683.47,50.53352748675272,Routine: Standard newsletter + rewards update,1.0333333333333334,9.0,11839.0
103340,Champions,Low,0.013962792,7577.07,105.79705414211377,Routine: Standard newsletter + rewards update,1.0333333333333334,7.0,13234.0
103352,Dormant Members,Critical,0.9998964,5555.49,5554.91449083209,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
103359,Champions,Low,0.007165801,4502.87,32.26666935849935,Routine: Standard newsletter + rewards update,0.0,12.0,25730.0
103362,Dormant Members,Low,0.19166408,4807.0,921.3292555958031,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
103383,Dormant Members,Critical,0.9999094,13466.92,13465.699909706116,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
103436,Champions,Low,0.005389803,5015.01,27.029916390376165,Routine: Standard newsletter + rewards update,0.0,6.0,11865.0
103490,Champions,Low,0.0048465226,17651.96,85.5506228017062,Routine: Standard newsletter + rewards update,0.0,14.0,23242.0
103502,Dormant Members,Low,0.013947031,2580.85,35.99519614535384,Re-Engagement: Points expiry reminder + transfer partner offer,1.0333333333333334,4.0,8812.0
103536,Champions,Low,0.005576624,9202.64,51.3196637256816,Routine: Standard newsletter + rewards update,0.0,15.0,23807.0
103699,Dormant Members,Low,0.015171805,5595.39,84.89216819850728,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,8.0,12644.0
103731,Champions,Low,0.010575991,4015.34,42.46620019949973,Routine: Standard newsletter + rewards update,0.0,10.0,19179.0
103758,Dormant Members,Low,0.015362917,14727.51,226.25752030924892,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
103823,Champions,Low,0.016053246,4812.53,77.25672958070412,Routine: Standard newsletter + rewards update,0.0,4.0,6099.0
103860,Champions,Low,0.008550881,3358.53,28.71839173573069,Routine: Standard newsletter + rewards update,0.0,12.0,24075.0
103862,Champions,Low,0.006165117,4878.83,30.0785578969121,Routine: Standard newsletter + rewards update,0.0,7.0,11883.0
103916,Champions,Low,0.034628656,3803.92,131.72463622421026,Routine: Standard newsletter + rewards update,3.066666666666667,10.0,11544.0
103969,Champions,Low,0.010293129,31410.93,323.31675136609937,Routine: Standard newsletter + rewards update,0.0,9.0,11633.0
103970,Champions,Low,0.008163434,8257.67,67.41094778205269,Routine: Standard newsletter + rewards update,0.0,14.0,13292.0
103975,Dormant Members,Low,0.03279425,2411.26,79.07545918650926,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
103985,Dormant Members,Low,0.065840945,2761.69,181.8322784243524,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
104103,Champions,Low,0.0071403612,8262.88,58.999948068484656,Routine: Standard newsletter + rewards update,0.0,6.0,8405.0
104267,Champions,Low,0.005079208,2701.04,13.719143819361925,Routine: Standard newsletter + rewards update,0.0,19.0,53881.5
104353,Champions,Low,0.0082145985,15777.89,129.60903186781331,Routine: Standard newsletter + rewards update,0.0,6.0,11584.0
104431,Champions,Low,0.02151941,2822.59,60.740470039751386,Routine: Standard newsletter + rewards update,2.033333333333333,8.0,16867.0
104541,Champions,Low,0.008294018,8621.0,71.50272905267775,Routine: Standard newsletter + rewards update,0.0,4.0,5211.0
104586,Champions,Low,0.010479949,7772.58,81.45624522194267,Routine: Standard newsletter + rewards update,1.0333333333333334,6.0,12067.0
104673,Champions,Low,0.00782106,14723.41,115.15266986059956,Routine: Standard newsletter + rewards update,0.0,13.0,15937.0
104732,Champions,Low,0.005455959,8382.48,45.73446822624653,Routine: Standard newsletter + rewards update,0.0,4.0,4811.0
104739,Dormant Members,Critical,0.9998708,5498.94,5498.22941119194,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
104849,Champions,Low,0.017046675,2816.76,48.01639251530171,Routine: Standard newsletter + rewards update,1.0333333333333334,8.0,14766.0
104960,Champions,Low,0.02862364,2551.23,73.02549044787884,Routine: Standard newsletter + rewards update,3.066666666666667,6.0,14038.0
105063,Dormant Members,Low,0.0054717883,7251.33,39.67774299256504,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,7.0,15934.5
105073,Champions,Low,0.0061094826,7562.82,46.20491726299748,Routine: Standard newsletter + rewards update,0.0,11.0,23164.5
105074,Champions,Low,0.010981753,2799.75,30.746161666000265,Routine: Standard newsletter + rewards update,1.0333333333333334,10.0,16752.0
105145,Dormant Members,Critical,0.99975604,4839.11,4837.929441960454,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
105193,Dormant Members,Low,0.014305058,8838.09,126.42938948842698,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
105214,Champions,Low,0.0072195698,5897.99,42.58095023451373,Routine: Standard newsletter + rewards update,0.0,11.0,22392.0
105251,At-Risk Loyalists,Critical,0.9853119,5074.25,4999.719037517905,Targeted Retention: Double points campaign for next 3 flights,12.166666666666666,0.0,0.0
105335,Champions,Low,0.040978618,11611.95,475.8416628923267,Routine: Standard newsletter + rewards update,3.066666666666667,2.0,2100.0
105352,Dormant Members,Critical,0.9998211,3923.27,3922.5682308107616,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
105552,Champions,Low,0.0062182657,8256.3,51.33986744619906,Routine: Standard newsletter + rewards update,0.0,7.0,11293.0
105688,Champions,Low,0.014368182,5507.06,79.12644063036889,Routine: Standard newsletter + rewards update,0.0,11.0,18105.0
105700,Dormant Members,Critical,0.99984384,7944.97,7943.729280359746,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
105712,Champions,Low,0.0071478025,8311.14,59.40638731674291,Routine: Standard newsletter + rewards update,0.0,1.0,1430.0
105789,Champions,Medium,0.22626968,2943.05,665.9229737229646,Engagement Nudge: Personalized bonus miles offer,5.033333333333333,5.0,7187.0
105835,Champions,Low,0.0064720693,4756.13,30.78200298090931,Routine: Standard newsletter + rewards update,0.0,4.0,12108.0
105841,Champions,Low,0.007341728,17420.57,127.89708793972152,Routine: Standard newsletter + rewards update,0.0,6.0,17029.5
105921,Champions,Low,0.003299951,5041.45,16.636538411001673,Routine: Standard newsletter + rewards update,0.0,5.0,6775.0
105932,Champions,Low,0.025817914,3671.82,94.7987327433005,Routine: Standard newsletter + rewards update,2.033333333333333,6.0,10390.0
105992,Champions,Low,0.012305191,5905.97,72.67408763064071,Routine: Standard newsletter + rewards update,1.0333333333333334,5.0,11965.0
106001,Champions,Low,0.009831689,4914.04,48.31331447869539,Routine: Standard newsletter + rewards update,1.0333333333333334,21.0,36680.0
106037,Champions,Low,0.006361295,11281.52,71.76507680725307,Routine: Standard newsletter + rewards update,0.0,12.0,13513.0
106038,Champions,Low,0.0066742594,7380.09,49.25663531649392,Routine: Standard newsletter + rewards update,0.0,9.0,15218.0
106046,Champions,Low,0.01206833,2658.22,32.08027699740603,Routine: Standard newsletter + rewards update,0.0,1.0,2235.0
106048,Dormant Members,High,0.42571747,11315.2,4817.078350830078,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
106218,Champions,Low,0.0065574176,16473.17,108.0214543556748,Routine: Standard newsletter + rewards update,0.0,4.0,3245.0
106397,Champions,Low,0.0059850262,7902.68,47.29774722795933,Routine: Standard newsletter + rewards update,0.0,5.0,5699.0
106444,Dormant Members,Low,0.07917929,8447.8,668.8907803535461,Re-Engagement: Points expiry reminder + transfer partner offer,3.066666666666667,3.0,7227.0
106477,Dormant Members,Low,0.006215299,2487.26,15.459064625566826,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,7.0,8422.0
106509,Dormant Members,Low,0.11349348,16727.77,1898.492826398388,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
106589,Dormant Members,Critical,0.9998274,11638.9,11636.89095067978,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
106592,Champions,Low,0.007287039,11727.78,85.46078972549178,Routine: Standard newsletter + rewards update,0.0,9.0,16532.0
106616,Dormant Members,Low,0.021724585,2560.69,55.62992869991809,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
106623,Dormant Members,Low,0.057982594,10827.87,627.8279876562954,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
106637,Champions,Low,0.008872625,7455.36,66.14861663639545,Routine: Standard newsletter + rewards update,0.0,8.0,14068.0
106689,Champions,Low,0.04304815,2795.41,120.3372313324362,Routine: Standard newsletter + rewards update,2.033333333333333,11.0,18607.0
106754,Champions,Low,0.023050178,31864.86,734.4906899224967,Routine: Standard newsletter + rewards update,2.033333333333333,4.0,3112.0
106757,Champions,Low,0.018276924,21423.64,391.55824581228194,Routine: Standard newsletter + rewards update,1.0333333333333334,8.0,10080.0
106776,Champions,Low,0.0050828843,19357.8,98.39345843335612,Routine: Standard newsletter + rewards update,0.0,3.0,4572.0
106838,Champions,Low,0.029816851,7524.74,224.36405154317617,Routine: Standard newsletter + rewards update,2.033333333333333,8.0,14175.0
106839,Champions,Low,0.013943392,6511.47,90.79197774306871,Routine: Standard newsletter + rewards update,0.0,10.0,15032.0
106936,Champions,Low,0.021805186,57520.5,1254.245191225782,Routine: Standard newsletter + rewards update,0.0,5.0,8583.0
106946,Champions,Low,0.00575038,7796.0,44.8299624081701,Routine: Standard newsletter + rewards update,0.0,8.0,9681.0
106964,Dormant Members,Low,0.025071623,5568.95,139.62261381326243,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
106978,Champions,Low,0.0061611123,3455.23,21.288060184679924,Routine: Standard newsletter + rewards update,0.0,14.0,19470.0
106979,Champions,Low,0.004481382,14083.97,63.11565249653067,Routine: Standard newsletter + rewards update,0.0,6.0,10992.0
107037,Champions,Low,0.011207114,17732.46,198.72970025578516,Routine: Standard newsletter + rewards update,0.0,9.0,13362.0
107067,Champions,Low,0.009613288,5137.35,49.38682323242538,Routine: Standard newsletter + rewards update,0.0,11.0,13241.0
107119,Champions,Low,0.006385958,17684.65,112.93342900043356,Routine: Standard newsletter + rewards update,0.0,7.0,10480.0
107141,Champions,Low,0.007459259,7292.91,54.39970547504257,Routine: Standard newsletter + rewards update,1.0333333333333334,11.0,9113.0
107203,Champions,Low,0.008200765,3044.79,24.96960621714592,Routine: Standard newsletter + rewards update,0.0,9.0,12629.0
107212,Champions,Low,0.005765224,6842.58,39.44900558698922,Routine: Standard newsletter + rewards update,0.0,6.0,8262.0
107296,Dormant Members,Low,0.010189154,21892.94,223.07054123071956,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,10.0,13367.0
107385,Dormant Members,Low,0.040380504,7155.47,288.9414848302677,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,9.0,10750.0
107420,Dormant Members,Low,0.02840736,15771.39,448.0235454778187,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,9.0,9519.0
107461,Dormant Members,Low,0.10375829,2519.92,261.4625911700726,Re-Engagement: Points expiry reminder + transfer partner offer,4.0,3.0,3582.0
107466,Dormant Members,Low,0.036253337,4285.58,155.36657519631086,Re-Engagement: Points expiry reminder + transfer partner offer,3.066666666666667,2.0,3330.0
107487,Dormant Members,Low,0.013242914,7805.31,103.36505173799584,Re-Engagement: Points expiry reminder + transfer partner offer,1.0333333333333334,3.0,6703.0
107519,Champions,Low,0.011351954,5470.06,62.0958705470711,Routine: Standard newsletter + rewards update,1.0333333333333334,21.0,47860.5
107571,Champions,Medium,0.3955686,7486.09,2961.262209928036,Engagement Nudge: Personalized bonus miles offer,5.033333333333333,8.0,6684.0
107649,Champions,Low,0.018972538,5879.18,111.54296837881208,Routine: Standard newsletter + rewards update,2.033333333333333,12.0,25799.0
107719,Champions,Low,0.0047773914,2345.08,11.203365120850505,Routine: Standard newsletter + rewards update,0.0,7.0,11492.0
107730,Champions,Low,0.028039439,26511.6,743.3703817136585,Routine: Standard newsletter + rewards update,0.0,20.0,35961.0
107835,Dormant Members,Low,0.064575836,3495.89,225.75001953229307,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
107902,Champions,Low,0.03086211,4369.5,134.8519884897396,Routine: Standard newsletter + rewards update,2.033333333333333,9.0,11569.0
107993,Champions,Low,0.006913237,23740.12,164.12107141109183,Routine: Standard newsletter + rewards update,0.0,9.0,10935.0
108264,Champions,Low,0.0029535901,2515.41,7.429490140622946,Routine: Standard newsletter + rewards update,0.0,17.0,24255.0
108346,Dormant Members,Low,0.052914668,4854.75,256.88748386409134,Re-Engagement: Points expiry reminder + transfer partner offer,1.0333333333333334,8.0,14174.0
108367,At-Risk Loyalists,Critical,0.7685394,3528.04,2711.437846069336,Targeted Retention: Double points campaign for next 3 flights,5.033333333333333,3.0,3645.0
108381,Champions,Low,0.0073681027,3289.13,24.2346475340426,Routine: Standard newsletter + rewards update,0.0,4.0,4136.0
108430,Champions,Low,0.023001697,30081.37,691.9225555109605,Routine: Standard newsletter + rewards update,0.0,8.0,15236.0
108440,Champions,Low,0.009484446,7842.87,74.38527446055785,Routine: Standard newsletter + rewards update,2.033333333333333,8.0,8965.0
108462,Champions,Low,0.0055795787,8186.1,45.674989116098736,Routine: Standard newsletter + rewards update,0.0,7.0,15360.0
108481,Dormant Members,Critical,0.9997086,11633.58,11630.189892092943,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
108528,Champions,Low,0.004567414,7858.11,35.8912420715997,Routine: Standard newsletter + rewards update,0.0,9.0,14535.0
108625,Champions,Low,0.011741861,15470.6,181.65363122355197,Routine: Standard newsletter + rewards update,0.0,9.0,16836.0
108666,Champions,Low,0.010979292,12036.62,132.15356546780097,Routine: Standard newsletter + rewards update,0.0,10.0,13258.0
108857,At-Risk Loyalists,Medium,0.39161062,5719.09,2239.656394495964,Monitor: Quarterly touchpoint,3.066666666666667,6.0,5126.0
108896,At-Risk Loyalists,Critical,0.8859996,32196.6,28526.175364029405,Targeted Retention: Double points campaign for next 3 flights,6.066666666666666,2.0,2588.0
108907,Champions,Low,0.009236232,2337.36,21.58840011008084,Routine: Standard newsletter + rewards update,0.0,6.0,8020.0
109022,Champions,Low,0.008345926,2991.42,24.9661704948172,Routine: Standard newsletter + rewards update,1.0333333333333334,8.0,11127.0
109023,Champions,Low,0.0273394,6005.85,164.1963398356922,Routine: Standard newsletter + rewards update,1.0333333333333334,11.0,25793.0
109029,Dormant Members,Low,0.16123883,5812.0,937.1201047301292,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
109203,Champions,Low,0.0117519805,8092.88,95.10736811704932,Routine: Standard newsletter + rewards update,1.0333333333333334,12.0,17456.0
109399,Champions,Low,0.0143706,4376.08,62.886894204765554,Routine: Standard newsletter + rewards update,0.0,5.0,10445.0
109478,Champions,Low,0.0061417934,20998.26,128.96697569743728,Routine: Standard newsletter + rewards update,0.0,11.0,21187.0
109495,Champions,Low,0.01234529,11218.44,138.49489303283394,Routine: Standard newsletter + rewards update,1.0333333333333334,11.0,22464.0
109517,Champions,Low,0.06621105,21295.51,1409.9981250648943,Routine: Standard newsletter + rewards update,3.066666666666667,5.0,8201.0
109552,Dormant Members,Low,0.014977411,14166.2,212.17300490718333,Re-Engagement: Points expiry reminder + transfer partner offer,1.0333333333333334,4.0,5984.0
109612,Dormant Members,Medium,0.25389025,6827.18,1733.3544107300045,Re-Engagement: Points expiry reminder + transfer partner offer,1.0333333333333334,16.0,28624.0
109660,Champions,Low,0.011475724,3543.23,40.661130144214255,Routine: Standard newsletter + rewards update,0.0,16.0,28603.0
109767,Champions,Low,0.012594433,3886.65,48.95015134834684,Routine: Standard newsletter + rewards update,1.0333333333333334,13.0,20206.0
109840,Champions,Low,0.051029555,4916.37,250.88017577134076,Routine: Standard newsletter + rewards update,3.066666666666667,5.0,9635.0
109896,Champions,Low,0.008419687,3884.86,32.70930496063084,Routine: Standard newsletter + rewards update,0.0,10.0,14777.0
109903,Champions,Low,0.051477294,5107.16,262.9027789457142,Routine: Standard newsletter + rewards update,3.066666666666667,5.0,5680.0
109956,At-Risk Loyalists,Critical,0.84038633,5137.85,4317.778911146522,Targeted Retention: Double points campaign for next 3 flights,5.033333333333333,8.0,17913.0
110001,Champions,Low,0.020061133,8173.5,163.9696740852669,Routine: Standard newsletter + rewards update,0.0,9.0,11111.0
110030,At-Risk Loyalists,Critical,0.9906408,3387.78,3356.073154038191,Targeted Retention: Double points campaign for next 3 flights,13.2,0.0,0.0
110065,Champions,Low,0.004359583,13432.0,58.55791757628322,Routine: Standard newsletter + rewards update,0.0,21.0,36747.0
110073,Dormant Members,Critical,0.9998722,8364.56,8363.491073150633,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
110099,Champions,Low,0.010163904,4731.84,48.0939682969451,Routine: Standard newsletter + rewards update,2.033333333333333,7.0,4508.0
110142,Champions,Low,0.013337843,4866.65,64.91061422042549,Routine: Standard newsletter + rewards update,0.0,13.0,18625.5
110170,Dormant Members,Low,0.0011776086,5532.46,6.515072572424542,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
110211,At-Risk Loyalists,Critical,0.8814615,12036.62,10609.817133629324,Targeted Retention: Double points campaign for next 3 flights,6.066666666666666,1.0,1544.0
110262,Champions,Low,0.009489011,9427.68,89.45935940802097,Routine: Standard newsletter + rewards update,0.0,18.0,46191.0
110296,Champions,Low,0.0074697696,2396.22,17.89921123243868,Routine: Standard newsletter + rewards update,0.0,6.0,12277.0
110394,Champions,Low,0.051342722,2565.12,131.7002431297302,Routine: Standard newsletter + rewards update,2.033333333333333,13.0,24268.0
110422,Dormant Members,Low,0.12884817,2414.77,311.13868405789134,Re-Engagement: Points expiry reminder + transfer partner offer,3.066666666666667,2.0,2124.0
110476,Champions,Low,0.007276208,6098.46,44.37366429319605,Routine: Standard newsletter + rewards update,0.0,7.0,8229.0
110603,Dormant Members,Critical,0.99980193,5246.28,5245.240889074802,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
110678,Champions,Low,0.007521932,3933.81,29.589851373368877,Routine: Standard newsletter + rewards update,0.0,10.0,9212.0
110691,Champions,Low,0.016429126,4722.24,77.58227720260619,Routine: Standard newsletter + rewards update,1.0333333333333334,6.0,14109.0
110752,Champions,Low,0.0033234872,5154.05,17.129419403953943,Routine: Standard newsletter + rewards update,0.0,8.0,10605.0
111022,Champions,Low,0.009991014,14635.45,146.22299135336652,Routine: Standard newsletter + rewards update,1.0333333333333334,2.0,2422.0
111034,Champions,Low,0.011030432,11790.5,130.05430657230318,Routine: Standard newsletter + rewards update,0.0,10.0,14458.0
111171,Champions,Low,0.007265288,4628.28,33.62578676098958,Routine: Standard newsletter + rewards update,0.0,10.0,11076.0
111176,Champions,Low,0.008499075,4568.82,38.830742595568296,Routine: Standard newsletter + rewards update,0.0,12.0,20903.0
111255,Champions,Low,0.0063442225,4122.96,26.156975448802115,Routine: Standard newsletter + rewards update,1.0333333333333334,19.0,19169.0
111286,Champions,Low,0.013189962,10382.38,136.94319905836133,Routine: Standard newsletter + rewards update,1.0333333333333334,7.0,14627.0
111329,Champions,Low,0.007684622,3585.94,27.55659327097237,Routine: Standard newsletter + rewards update,0.0,3.0,3939.0
111387,Dormant Members,Critical,0.999863,5793.16,5792.366502337456,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
111485,Champions,Low,0.0076955017,2989.96,23.00924217395485,Routine: Standard newsletter + rewards update,0.0,11.0,14238.0
111507,Champions,Low,0.007687691,17556.99,134.97271635340994,Routine: Standard newsletter + rewards update,1.0333333333333334,6.0,7137.0
111573,Champions,Low,0.009224485,14349.86,132.37006365312263,Routine: Standard newsletter + rewards update,0.0,4.0,3804.0
